loc,length,bug type,approach
504,10,Overflow-Underflow,code snippet injection
499,4,Overflow-Underflow,code snippet injection
494,4,Overflow-Underflow,code snippet injection
115,10,Overflow-Underflow,code snippet injection
105,4,Overflow-Underflow,code snippet injection
100,4,Overflow-Underflow,code snippet injection
489,4,Overflow-Underflow,code snippet injection
479,4,Overflow-Underflow,code snippet injection
468,4,Overflow-Underflow,code snippet injection
452,8,Overflow-Underflow,code snippet injection
439,8,Overflow-Underflow,code snippet injection
429,4,Overflow-Underflow,code snippet injection
421,4,Overflow-Underflow,code snippet injection
401,4,Overflow-Underflow,code snippet injection
386,8,Overflow-Underflow,code snippet injection
377,4,Overflow-Underflow,code snippet injection
369,4,Overflow-Underflow,code snippet injection
347,8,Overflow-Underflow,code snippet injection
338,4,Overflow-Underflow,code snippet injection
324,10,Overflow-Underflow,code snippet injection
305,10,Overflow-Underflow,code snippet injection
286,4,Overflow-Underflow,code snippet injection
272,10,Overflow-Underflow,code snippet injection
257,10,Overflow-Underflow,code snippet injection
245,8,Overflow-Underflow,code snippet injection
156,10,Overflow-Underflow,code snippet injection
134,4,Overflow-Underflow,code snippet injection
95,4,Overflow-Underflow,code snippet injection
86,8,Overflow-Underflow,code snippet injection
77,8,Overflow-Underflow,code snippet injection
66,10,Overflow-Underflow,code snippet injection
57,8,Overflow-Underflow,code snippet injection
52,4,Overflow-Underflow,code snippet injection
227,4,Overflow-Underflow,code snippet injection
215,10,Overflow-Underflow,code snippet injection
209,4,Overflow-Underflow,code snippet injection
204,4,Overflow-Underflow,code snippet injection
195,8,Overflow-Underflow,code snippet injection
184,10,Overflow-Underflow,code snippet injection
174,8,Overflow-Underflow,code snippet injection
