loc,length,bug type,approach
71,8,Re-erntrancy,code snippet injection
63,7,Re-erntrancy,code snippet injection
53,8,Re-erntrancy,code snippet injection
43,9,Re-erntrancy,code snippet injection
33,9,Re-erntrancy,code snippet injection
24,8,Re-erntrancy,code snippet injection
18,5,Re-erntrancy,code snippet injection
9,8,Re-erntrancy,code snippet injection
369,5,Re-erntrancy,code snippet injection
357,8,Re-erntrancy,code snippet injection
342,8,Re-erntrancy,code snippet injection
330,8,Re-erntrancy,code snippet injection
297,8,Re-erntrancy,code snippet injection
280,8,Re-erntrancy,code snippet injection
264,7,Re-erntrancy,code snippet injection
250,8,Re-erntrancy,code snippet injection
235,8,Re-erntrancy,code snippet injection
220,9,Re-erntrancy,code snippet injection
176,9,Re-erntrancy,code snippet injection
167,8,Re-erntrancy,code snippet injection
157,8,Re-erntrancy,code snippet injection
149,7,Re-erntrancy,code snippet injection
140,8,Re-erntrancy,code snippet injection
131,7,Re-erntrancy,code snippet injection
121,8,Re-erntrancy,code snippet injection
111,8,Re-erntrancy,code snippet injection
102,8,Re-erntrancy,code snippet injection
96,5,Re-erntrancy,code snippet injection
