loc,length,bug type,approach
18,10,Overflow-Underflow,code snippet injection
13,4,Overflow-Underflow,code snippet injection
8,4,Overflow-Underflow,code snippet injection
250,10,Overflow-Underflow,code snippet injection
241,4,Overflow-Underflow,code snippet injection
230,4,Overflow-Underflow,code snippet injection
220,4,Overflow-Underflow,code snippet injection
206,4,Overflow-Underflow,code snippet injection
198,4,Overflow-Underflow,code snippet injection
183,8,Overflow-Underflow,code snippet injection
167,8,Overflow-Underflow,code snippet injection
139,4,Overflow-Underflow,code snippet injection
114,4,Overflow-Underflow,code snippet injection
88,4,Overflow-Underflow,code snippet injection
77,8,Overflow-Underflow,code snippet injection
72,4,Overflow-Underflow,code snippet injection
66,4,Overflow-Underflow,code snippet injection
57,8,Overflow-Underflow,code snippet injection
52,4,Overflow-Underflow,code snippet injection
41,10,Overflow-Underflow,code snippet injection
30,10,Overflow-Underflow,code snippet injection
