loc,length,bug type,approach
321,9,Re-erntrancy,code snippet injection
313,7,Re-erntrancy,code snippet injection
304,8,Re-erntrancy,code snippet injection
293,10,Re-erntrancy,code snippet injection
282,10,Re-erntrancy,code snippet injection
273,8,Re-erntrancy,code snippet injection
156,5,Re-erntrancy,code snippet injection
605,8,Re-erntrancy,code snippet injection
580,6,Re-erntrancy,code snippet injection
563,8,Re-erntrancy,code snippet injection
530,8,Re-erntrancy,code snippet injection
516,8,Re-erntrancy,code snippet injection
504,8,Re-erntrancy,code snippet injection
487,8,Re-erntrancy,code snippet injection
472,7,Re-erntrancy,code snippet injection
456,8,Re-erntrancy,code snippet injection
443,8,Re-erntrancy,code snippet injection
421,10,Re-erntrancy,code snippet injection
407,9,Re-erntrancy,code snippet injection
394,8,Re-erntrancy,code snippet injection
374,9,Re-erntrancy,code snippet injection
357,8,Re-erntrancy,code snippet injection
337,8,Re-erntrancy,code snippet injection
200,8,Re-erntrancy,code snippet injection
184,8,Re-erntrancy,code snippet injection
166,8,Re-erntrancy,code snippet injection
263,8,Re-erntrancy,code snippet injection
256,6,Re-erntrancy,code snippet injection
247,8,Re-erntrancy,code snippet injection
236,9,Re-erntrancy,code snippet injection
229,6,Re-erntrancy,code snippet injection
221,7,Re-erntrancy,code snippet injection
145,8,Re-erntrancy,code snippet injection
136,8,Re-erntrancy,code snippet injection
