loc,length,bug type,approach
457,1,Timestamp-Dependency,code snippet injection
455,1,Timestamp-Dependency,code snippet injection
453,1,Timestamp-Dependency,code snippet injection
105,1,Timestamp-Dependency,code snippet injection
89,1,Timestamp-Dependency,code snippet injection
85,3,Timestamp-Dependency,code snippet injection
447,5,Timestamp-Dependency,code snippet injection
436,5,Timestamp-Dependency,code snippet injection
426,3,Timestamp-Dependency,code snippet injection
409,9,Timestamp-Dependency,code snippet injection
399,5,Timestamp-Dependency,code snippet injection
384,9,Timestamp-Dependency,code snippet injection
375,5,Timestamp-Dependency,code snippet injection
350,9,Timestamp-Dependency,code snippet injection
339,4,Timestamp-Dependency,code snippet injection
330,4,Timestamp-Dependency,code snippet injection
321,5,Timestamp-Dependency,code snippet injection
302,5,Timestamp-Dependency,code snippet injection
288,9,Timestamp-Dependency,code snippet injection
280,4,Timestamp-Dependency,code snippet injection
262,9,Timestamp-Dependency,code snippet injection
238,9,Timestamp-Dependency,code snippet injection
230,4,Timestamp-Dependency,code snippet injection
220,5,Timestamp-Dependency,code snippet injection
213,3,Timestamp-Dependency,code snippet injection
138,3,Timestamp-Dependency,code snippet injection
115,5,Timestamp-Dependency,code snippet injection
81,3,Timestamp-Dependency,code snippet injection
77,3,Timestamp-Dependency,code snippet injection
72,4,Timestamp-Dependency,code snippet injection
68,3,Timestamp-Dependency,code snippet injection
62,5,Timestamp-Dependency,code snippet injection
52,9,Timestamp-Dependency,code snippet injection
195,4,Timestamp-Dependency,code snippet injection
189,4,Timestamp-Dependency,code snippet injection
184,3,Timestamp-Dependency,code snippet injection
179,4,Timestamp-Dependency,code snippet injection
169,9,Timestamp-Dependency,code snippet injection
163,5,Timestamp-Dependency,code snippet injection
158,3,Timestamp-Dependency,code snippet injection
148,9,Timestamp-Dependency,code snippet injection
95,9,Timestamp-Dependency,code snippet injection
