loc,length,bug type,approach
174,2,Unchecked-Send,code snippet injection
288,2,Unchecked-Send,code snippet injection
281,2,Unchecked-Send,code snippet injection
273,2,Unchecked-Send,code snippet injection
262,2,Unchecked-Send,code snippet injection
255,2,Unchecked-Send,code snippet injection
224,2,Unchecked-Send,code snippet injection
208,2,Unchecked-Send,code snippet injection
199,2,Unchecked-Send,code snippet injection
192,2,Unchecked-Send,code snippet injection
185,2,Unchecked-Send,code snippet injection
121,2,Unchecked-Send,code snippet injection
109,2,Unchecked-Send,code snippet injection
103,2,Unchecked-Send,code snippet injection
97,2,Unchecked-Send,code snippet injection
81,2,Unchecked-Send,code snippet injection
68,2,Unchecked-Send,code snippet injection
61,2,Unchecked-Send,code snippet injection
30,2,Unchecked-Send,code snippet injection
27,2,Unchecked-Send,code snippet injection
24,2,Unchecked-Send,code snippet injection
19,2,Unchecked-Send,code snippet injection
16,2,Unchecked-Send,code snippet injection
13,2,Unchecked-Send,code snippet injection
164,2,Unchecked-Send,code snippet injection
159,2,Unchecked-Send,code snippet injection
156,2,Unchecked-Send,code snippet injection
150,2,Unchecked-Send,code snippet injection
146,2,Unchecked-Send,code snippet injection
142,2,Unchecked-Send,code snippet injection
137,2,Unchecked-Send,code snippet injection
132,2,Unchecked-Send,code snippet injection
