loc,length,bug type,approach,
9,3,tx.origin,code snippet injection,
17,4,tx.origin,code snippet injection,
30,4,tx.origin,code snippet injection,
38,4,tx.origin,code snippet injection,
43,3,tx.origin,code snippet injection,40
53,4,tx.origin,code snippet injection,50
61,4,tx.origin,code snippet injection,59
70,4,tx.origin,code snippet injection,68
75,4,tx.origin,code snippet injection,73
80,4,tx.origin,code snippet injection,78
85,4,tx.origin,code snippet injection,83
90,4,tx.origin,code snippet injection,88
95,4,tx.origin,code snippet injection,93
100,3,tx.origin,code snippet injection,98
177,4,tx.origin,code snippet injection,173
182,4,tx.origin,code snippet injection,178
187,3,tx.origin,code snippet injection,183
191,4,tx.origin,code snippet injection,187
196,4,tx.origin,code snippet injection,192
201,4,tx.origin,code snippet injection,197
206,4,tx.origin,code snippet injection,202
212,3,tx.origin,code snippet injection,208
217,4,tx.origin,code snippet injection,215
222,3,tx.origin,code snippet injection,220
226,4,tx.origin,code snippet injection,224
231,4,tx.origin,code snippet injection,229
236,4,tx.origin,code snippet injection,234
241,4,tx.origin,code snippet injection,239
286,3,tx.origin,code snippet injection,284
305,4,tx.origin,code snippet injection,303
334,3,tx.origin,code snippet injection,332
374,4,tx.origin,code snippet injection,372
400,4,tx.origin,code snippet injection,398
430,4,tx.origin,code snippet injection,428
461,4,tx.origin,code snippet injection,459
519,3,tx.origin,code snippet injection,517
