loc,length,bug type,approach
13,4,tx.origin,code snippet injection
18,4,tx.origin,code snippet injection
23,4,tx.origin,code snippet injection
30,4,tx.origin,code snippet injection
35,4,tx.origin,code snippet injection
40,4,tx.origin,code snippet injection
50,4,tx.origin,code snippet injection
55,4,tx.origin,code snippet injection
60,4,tx.origin,code snippet injection
66,3,tx.origin,code snippet injection
70,3,tx.origin,code snippet injection
75,4,tx.origin,code snippet injection
81,4,tx.origin,code snippet injection
99,4,tx.origin,code snippet injection
108,3,tx.origin,code snippet injection
122,3,tx.origin,code snippet injection
139,4,tx.origin,code snippet injection
147,3,tx.origin,code snippet injection
154,4,tx.origin,code snippet injection
168,4,tx.origin,code snippet injection
176,3,tx.origin,code snippet injection
184,4,tx.origin,code snippet injection
191,4,tx.origin,code snippet injection
198,4,tx.origin,code snippet injection
204,4,tx.origin,code snippet injection
210,3,tx.origin,code snippet injection
217,4,tx.origin,code snippet injection
222,4,tx.origin,code snippet injection
229,4,tx.origin,code snippet injection
241,4,tx.origin,code snippet injection
254,4,tx.origin,code snippet injection
263,4,tx.origin,code snippet injection
272,3,tx.origin,code snippet injection
282,4,tx.origin,code snippet injection
300,3,tx.origin,code snippet injection
332,4,tx.origin,code snippet injection
341,3,tx.origin,code snippet injection
353,4,tx.origin,code snippet injection
363,4,tx.origin,code snippet injection
372,4,tx.origin,code snippet injection
