loc,length,bug type,approach
123,10,Overflow-Underflow,code snippet injection
86,4,Overflow-Underflow,code snippet injection
81,4,Overflow-Underflow,code snippet injection
377,10,Overflow-Underflow,code snippet injection
365,4,Overflow-Underflow,code snippet injection
353,4,Overflow-Underflow,code snippet injection
336,4,Overflow-Underflow,code snippet injection
323,4,Overflow-Underflow,code snippet injection
301,4,Overflow-Underflow,code snippet injection
278,8,Overflow-Underflow,code snippet injection
257,8,Overflow-Underflow,code snippet injection
245,4,Overflow-Underflow,code snippet injection
233,4,Overflow-Underflow,code snippet injection
165,4,Overflow-Underflow,code snippet injection
151,8,Overflow-Underflow,code snippet injection
138,4,Overflow-Underflow,code snippet injection
96,4,Overflow-Underflow,code snippet injection
72,8,Overflow-Underflow,code snippet injection
67,4,Overflow-Underflow,code snippet injection
56,10,Overflow-Underflow,code snippet injection
45,10,Overflow-Underflow,code snippet injection
40,4,Overflow-Underflow,code snippet injection
29,10,Overflow-Underflow,code snippet injection
208,10,Overflow-Underflow,code snippet injection
196,8,Overflow-Underflow,code snippet injection
185,10,Overflow-Underflow,code snippet injection
180,4,Overflow-Underflow,code snippet injection
175,4,Overflow-Underflow,code snippet injection
113,8,Overflow-Underflow,code snippet injection
104,8,Overflow-Underflow,code snippet injection
