loc,length,bug type,approach
1170,13,TOD,code snippet injection
1154,13,TOD,code snippet injection
1000,13,TOD,code snippet injection
986,13,TOD,code snippet injection
851,18,TOD,code snippet injection
837,13,TOD,code snippet injection
1317,18,TOD,code snippet injection
1299,13,TOD,code snippet injection
1269,18,TOD,code snippet injection
1245,18,TOD,code snippet injection
1209,18,TOD,code snippet injection
1191,13,TOD,code snippet injection
1137,13,TOD,code snippet injection
1114,18,TOD,code snippet injection
1091,18,TOD,code snippet injection
1069,18,TOD,code snippet injection
1047,18,TOD,code snippet injection
1020,18,TOD,code snippet injection
968,13,TOD,code snippet injection
950,13,TOD,code snippet injection
932,13,TOD,code snippet injection
915,13,TOD,code snippet injection
898,13,TOD,code snippet injection
876,13,TOD,code snippet injection
790,18,TOD,code snippet injection
757,13,TOD,code snippet injection
727,13,TOD,code snippet injection
699,18,TOD,code snippet injection
664,18,TOD,code snippet injection
624,18,TOD,code snippet injection
589,13,TOD,code snippet injection
549,18,TOD,code snippet injection
514,18,TOD,code snippet injection
494,13,TOD,code snippet injection
476,13,TOD,code snippet injection
452,18,TOD,code snippet injection
420,18,TOD,code snippet injection
397,18,TOD,code snippet injection
371,13,TOD,code snippet injection
340,18,TOD,code snippet injection
