loc,length,bug type,approach
135,1,Timestamp-Dependency,code snippet injection
90,1,Timestamp-Dependency,code snippet injection
88,1,Timestamp-Dependency,code snippet injection
151,1,Timestamp-Dependency,code snippet injection
389,1,Timestamp-Dependency,code snippet injection
378,3,Timestamp-Dependency,code snippet injection
360,5,Timestamp-Dependency,code snippet injection
346,5,Timestamp-Dependency,code snippet injection
325,3,Timestamp-Dependency,code snippet injection
301,9,Timestamp-Dependency,code snippet injection
285,5,Timestamp-Dependency,code snippet injection
269,9,Timestamp-Dependency,code snippet injection
251,5,Timestamp-Dependency,code snippet injection
234,9,Timestamp-Dependency,code snippet injection
222,4,Timestamp-Dependency,code snippet injection
167,4,Timestamp-Dependency,code snippet injection
156,5,Timestamp-Dependency,code snippet injection
141,5,Timestamp-Dependency,code snippet injection
102,9,Timestamp-Dependency,code snippet injection
83,4,Timestamp-Dependency,code snippet injection
73,9,Timestamp-Dependency,code snippet injection
63,9,Timestamp-Dependency,code snippet injection
58,4,Timestamp-Dependency,code snippet injection
52,5,Timestamp-Dependency,code snippet injection
48,3,Timestamp-Dependency,code snippet injection
205,3,Timestamp-Dependency,code snippet injection
199,5,Timestamp-Dependency,code snippet injection
194,3,Timestamp-Dependency,code snippet injection
190,3,Timestamp-Dependency,code snippet injection
185,4,Timestamp-Dependency,code snippet injection
181,3,Timestamp-Dependency,code snippet injection
128,5,Timestamp-Dependency,code snippet injection
118,9,Timestamp-Dependency,code snippet injection
