loc,length,bug type,approach
78,3,Unhandled-Exceptions,code snippet injection
69,6,Unhandled-Exceptions,code snippet injection
61,5,Unhandled-Exceptions,code snippet injection
256,2,Unhandled-Exceptions,code snippet injection
232,6,Unhandled-Exceptions,code snippet injection
208,9,Unhandled-Exceptions,code snippet injection
180,9,Unhandled-Exceptions,code snippet injection
162,3,Unhandled-Exceptions,code snippet injection
143,3,Unhandled-Exceptions,code snippet injection
128,2,Unhandled-Exceptions,code snippet injection
98,9,Unhandled-Exceptions,code snippet injection
50,8,Unhandled-Exceptions,code snippet injection
46,3,Unhandled-Exceptions,code snippet injection
40,3,Unhandled-Exceptions,code snippet injection
33,5,Unhandled-Exceptions,code snippet injection
23,9,Unhandled-Exceptions,code snippet injection
17,5,Unhandled-Exceptions,code snippet injection
