loc,length,bug type,approach
269,9,Re-erntrancy,code snippet injection
261,7,Re-erntrancy,code snippet injection
252,8,Re-erntrancy,code snippet injection
101,10,Re-erntrancy,code snippet injection
40,10,Re-erntrancy,code snippet injection
550,8,Re-erntrancy,code snippet injection
535,5,Re-erntrancy,code snippet injection
520,8,Re-erntrancy,code snippet injection
506,6,Re-erntrancy,code snippet injection
494,8,Re-erntrancy,code snippet injection
430,8,Re-erntrancy,code snippet injection
414,8,Re-erntrancy,code snippet injection
391,8,Re-erntrancy,code snippet injection
365,8,Re-erntrancy,code snippet injection
350,7,Re-erntrancy,code snippet injection
333,8,Re-erntrancy,code snippet injection
321,8,Re-erntrancy,code snippet injection
308,10,Re-erntrancy,code snippet injection
297,9,Re-erntrancy,code snippet injection
181,8,Re-erntrancy,code snippet injection
163,9,Re-erntrancy,code snippet injection
123,8,Re-erntrancy,code snippet injection
73,8,Re-erntrancy,code snippet injection
55,8,Re-erntrancy,code snippet injection
473,8,Re-erntrancy,code snippet injection
237,8,Re-erntrancy,code snippet injection
228,8,Re-erntrancy,code snippet injection
221,6,Re-erntrancy,code snippet injection
212,8,Re-erntrancy,code snippet injection
90,9,Re-erntrancy,code snippet injection
32,6,Re-erntrancy,code snippet injection
