loc,length,bug type,approach
295,13,TOD,code snippet injection
281,13,TOD,code snippet injection
42,13,TOD,code snippet injection
499,13,TOD,code snippet injection
475,18,TOD,code snippet injection
458,13,TOD,code snippet injection
435,18,TOD,code snippet injection
418,13,TOD,code snippet injection
396,18,TOD,code snippet injection
367,18,TOD,code snippet injection
341,18,TOD,code snippet injection
175,13,TOD,code snippet injection
161,13,TOD,code snippet injection
142,18,TOD,code snippet injection
87,18,TOD,code snippet injection
60,18,TOD,code snippet injection
315,18,TOD,code snippet injection
262,18,TOD,code snippet injection
248,13,TOD,code snippet injection
233,13,TOD,code snippet injection
219,13,TOD,code snippet injection
205,13,TOD,code snippet injection
191,13,TOD,code snippet injection
27,13,TOD,code snippet injection
8,18,TOD,code snippet injection
