loc,length,bug type,approach
238,2,Unchecked-Send,code snippet injection
235,2,Unchecked-Send,code snippet injection
232,2,Unchecked-Send,code snippet injection
352,2,Unchecked-Send,code snippet injection
343,2,Unchecked-Send,code snippet injection
335,2,Unchecked-Send,code snippet injection
327,2,Unchecked-Send,code snippet injection
315,2,Unchecked-Send,code snippet injection
298,2,Unchecked-Send,code snippet injection
265,2,Unchecked-Send,code snippet injection
26,2,Unchecked-Send,code snippet injection
23,2,Unchecked-Send,code snippet injection
17,2,Unchecked-Send,code snippet injection
179,2,Unchecked-Send,code snippet injection
173,2,Unchecked-Send,code snippet injection
167,2,Unchecked-Send,code snippet injection
161,2,Unchecked-Send,code snippet injection
155,2,Unchecked-Send,code snippet injection
149,2,Unchecked-Send,code snippet injection
