loc,length,bug type,approach
200,10,Overflow-Underflow,code snippet injection
195,4,Overflow-Underflow,code snippet injection
270,4,Overflow-Underflow,code snippet injection
253,10,Overflow-Underflow,code snippet injection
187,4,Overflow-Underflow,code snippet injection
174,4,Overflow-Underflow,code snippet injection
159,4,Overflow-Underflow,code snippet injection
141,4,Overflow-Underflow,code snippet injection
125,4,Overflow-Underflow,code snippet injection
73,8,Overflow-Underflow,code snippet injection
64,8,Overflow-Underflow,code snippet injection
59,4,Overflow-Underflow,code snippet injection
54,4,Overflow-Underflow,code snippet injection
49,4,Overflow-Underflow,code snippet injection
237,8,Overflow-Underflow,code snippet injection
232,4,Overflow-Underflow,code snippet injection
227,4,Overflow-Underflow,code snippet injection
218,8,Overflow-Underflow,code snippet injection
112,4,Overflow-Underflow,code snippet injection
101,10,Overflow-Underflow,code snippet injection
90,10,Overflow-Underflow,code snippet injection
