loc,length,bug type,approach
197,9,Re-erntrancy,code snippet injection
189,7,Re-erntrancy,code snippet injection
27,8,Re-erntrancy,code snippet injection
324,10,Re-erntrancy,code snippet injection
308,10,Re-erntrancy,code snippet injection
296,8,Re-erntrancy,code snippet injection
286,5,Re-erntrancy,code snippet injection
274,8,Re-erntrancy,code snippet injection
264,6,Re-erntrancy,code snippet injection
245,8,Re-erntrancy,code snippet injection
229,8,Re-erntrancy,code snippet injection
119,8,Re-erntrancy,code snippet injection
110,8,Re-erntrancy,code snippet injection
101,8,Re-erntrancy,code snippet injection
57,7,Re-erntrancy,code snippet injection
40,8,Re-erntrancy,code snippet injection
213,8,Re-erntrancy,code snippet injection
178,10,Re-erntrancy,code snippet injection
168,9,Re-erntrancy,code snippet injection
158,8,Re-erntrancy,code snippet injection
148,9,Re-erntrancy,code snippet injection
139,8,Re-erntrancy,code snippet injection
130,8,Re-erntrancy,code snippet injection
17,8,Re-erntrancy,code snippet injection
8,8,Re-erntrancy,code snippet injection
