loc,length,bug type,approach
584,1,Timestamp-Dependency,code snippet injection
577,1,Timestamp-Dependency,code snippet injection
560,1,Timestamp-Dependency,code snippet injection
551,1,Timestamp-Dependency,code snippet injection
543,1,Timestamp-Dependency,code snippet injection
498,3,Timestamp-Dependency,code snippet injection
482,5,Timestamp-Dependency,code snippet injection
456,5,Timestamp-Dependency,code snippet injection
434,3,Timestamp-Dependency,code snippet injection
408,9,Timestamp-Dependency,code snippet injection
380,5,Timestamp-Dependency,code snippet injection
352,9,Timestamp-Dependency,code snippet injection
330,5,Timestamp-Dependency,code snippet injection
303,9,Timestamp-Dependency,code snippet injection
287,4,Timestamp-Dependency,code snippet injection
276,4,Timestamp-Dependency,code snippet injection
258,5,Timestamp-Dependency,code snippet injection
246,5,Timestamp-Dependency,code snippet injection
522,9,Timestamp-Dependency,code snippet injection
517,4,Timestamp-Dependency,code snippet injection
507,9,Timestamp-Dependency,code snippet injection
229,9,Timestamp-Dependency,code snippet injection
223,4,Timestamp-Dependency,code snippet injection
216,5,Timestamp-Dependency,code snippet injection
