loc,length,bug type,approach
10,3,tx.origin,code snippet injection
20,4,tx.origin,code snippet injection
30,4,tx.origin,code snippet injection
35,4,tx.origin,code snippet injection
41,4,tx.origin,code snippet injection
54,4,tx.origin,code snippet injection
64,4,tx.origin,code snippet injection
75,4,tx.origin,code snippet injection
85,4,tx.origin,code snippet injection
95,4,tx.origin,code snippet injection
105,4,tx.origin,code snippet injection
113,4,tx.origin,code snippet injection
121,4,tx.origin,code snippet injection
129,4,tx.origin,code snippet injection
140,4,tx.origin,code snippet injection
145,4,tx.origin,code snippet injection
157,3,tx.origin,code snippet injection
165,3,tx.origin,code snippet injection
205,4,tx.origin,code snippet injection
232,3,tx.origin,code snippet injection
270,3,tx.origin,code snippet injection
294,4,tx.origin,code snippet injection
302,4,tx.origin,code snippet injection
310,4,tx.origin,code snippet injection
325,4,tx.origin,code snippet injection
362,4,tx.origin,code snippet injection
376,3,tx.origin,code snippet injection
387,4,tx.origin,code snippet injection
399,3,tx.origin,code snippet injection
410,4,tx.origin,code snippet injection
