loc,length,bug type,approach
64,10,Overflow-Underflow,code snippet injection
518,4,Overflow-Underflow,code snippet injection
510,4,Overflow-Underflow,code snippet injection
495,10,Overflow-Underflow,code snippet injection
478,4,Overflow-Underflow,code snippet injection
327,4,Overflow-Underflow,code snippet injection
311,4,Overflow-Underflow,code snippet injection
289,4,Overflow-Underflow,code snippet injection
263,4,Overflow-Underflow,code snippet injection
244,8,Overflow-Underflow,code snippet injection
229,8,Overflow-Underflow,code snippet injection
217,4,Overflow-Underflow,code snippet injection
143,4,Overflow-Underflow,code snippet injection
24,4,Overflow-Underflow,code snippet injection
15,8,Overflow-Underflow,code snippet injection
10,4,Overflow-Underflow,code snippet injection
5,4,Overflow-Underflow,code snippet injection
197,8,Overflow-Underflow,code snippet injection
191,4,Overflow-Underflow,code snippet injection
179,10,Overflow-Underflow,code snippet injection
167,10,Overflow-Underflow,code snippet injection
161,4,Overflow-Underflow,code snippet injection
149,10,Overflow-Underflow,code snippet injection
104,10,Overflow-Underflow,code snippet injection
94,8,Overflow-Underflow,code snippet injection
82,10,Overflow-Underflow,code snippet injection
76,4,Overflow-Underflow,code snippet injection
