loc,length,bug type,approach
437,9,Re-erntrancy,code snippet injection
425,7,Re-erntrancy,code snippet injection
412,8,Re-erntrancy,code snippet injection
397,10,Re-erntrancy,code snippet injection
382,10,Re-erntrancy,code snippet injection
369,8,Re-erntrancy,code snippet injection
359,5,Re-erntrancy,code snippet injection
346,8,Re-erntrancy,code snippet injection
335,6,Re-erntrancy,code snippet injection
322,8,Re-erntrancy,code snippet injection
309,8,Re-erntrancy,code snippet injection
296,8,Re-erntrancy,code snippet injection
283,8,Re-erntrancy,code snippet injection
270,8,Re-erntrancy,code snippet injection
258,7,Re-erntrancy,code snippet injection
245,8,Re-erntrancy,code snippet injection
232,8,Re-erntrancy,code snippet injection
217,10,Re-erntrancy,code snippet injection
203,9,Re-erntrancy,code snippet injection
190,8,Re-erntrancy,code snippet injection
171,9,Re-erntrancy,code snippet injection
155,8,Re-erntrancy,code snippet injection
135,8,Re-erntrancy,code snippet injection
122,8,Re-erntrancy,code snippet injection
109,8,Re-erntrancy,code snippet injection
96,8,Re-erntrancy,code snippet injection
72,8,Re-erntrancy,code snippet injection
58,6,Re-erntrancy,code snippet injection
