loc,length,bug type,approach
147,1,Timestamp-Dependency,code snippet injection
113,1,Timestamp-Dependency,code snippet injection
111,1,Timestamp-Dependency,code snippet injection
163,1,Timestamp-Dependency,code snippet injection
391,1,Timestamp-Dependency,code snippet injection
380,3,Timestamp-Dependency,code snippet injection
367,5,Timestamp-Dependency,code snippet injection
349,5,Timestamp-Dependency,code snippet injection
337,3,Timestamp-Dependency,code snippet injection
310,9,Timestamp-Dependency,code snippet injection
290,5,Timestamp-Dependency,code snippet injection
268,9,Timestamp-Dependency,code snippet injection
255,5,Timestamp-Dependency,code snippet injection
238,9,Timestamp-Dependency,code snippet injection
178,4,Timestamp-Dependency,code snippet injection
168,4,Timestamp-Dependency,code snippet injection
153,5,Timestamp-Dependency,code snippet injection
125,5,Timestamp-Dependency,code snippet injection
101,9,Timestamp-Dependency,code snippet injection
96,4,Timestamp-Dependency,code snippet injection
86,9,Timestamp-Dependency,code snippet injection
76,9,Timestamp-Dependency,code snippet injection
71,4,Timestamp-Dependency,code snippet injection
65,5,Timestamp-Dependency,code snippet injection
53,3,Timestamp-Dependency,code snippet injection
46,3,Timestamp-Dependency,code snippet injection
37,5,Timestamp-Dependency,code snippet injection
30,3,Timestamp-Dependency,code snippet injection
221,3,Timestamp-Dependency,code snippet injection
216,4,Timestamp-Dependency,code snippet injection
211,3,Timestamp-Dependency,code snippet injection
205,5,Timestamp-Dependency,code snippet injection
195,9,Timestamp-Dependency,code snippet injection
190,4,Timestamp-Dependency,code snippet injection
141,4,Timestamp-Dependency,code snippet injection
137,3,Timestamp-Dependency,code snippet injection
