loc,length,bug type,approach
152,3,Unhandled-Exceptions,code snippet injection
143,6,Unhandled-Exceptions,code snippet injection
135,5,Unhandled-Exceptions,code snippet injection
379,2,Unhandled-Exceptions,code snippet injection
364,6,Unhandled-Exceptions,code snippet injection
341,9,Unhandled-Exceptions,code snippet injection
316,9,Unhandled-Exceptions,code snippet injection
299,3,Unhandled-Exceptions,code snippet injection
282,3,Unhandled-Exceptions,code snippet injection
266,2,Unhandled-Exceptions,code snippet injection
243,9,Unhandled-Exceptions,code snippet injection
225,8,Unhandled-Exceptions,code snippet injection
212,3,Unhandled-Exceptions,code snippet injection
200,3,Unhandled-Exceptions,code snippet injection
188,5,Unhandled-Exceptions,code snippet injection
66,9,Unhandled-Exceptions,code snippet injection
127,5,Unhandled-Exceptions,code snippet injection
123,3,Unhandled-Exceptions,code snippet injection
111,9,Unhandled-Exceptions,code snippet injection
101,9,Unhandled-Exceptions,code snippet injection
96,3,Unhandled-Exceptions,code snippet injection
90,5,Unhandled-Exceptions,code snippet injection
86,3,Unhandled-Exceptions,code snippet injection
55,6,Unhandled-Exceptions,code snippet injection
