loc,length,bug type,approach
52,3,tx.origin,code snippet injection
56,4,tx.origin,code snippet injection
61,4,tx.origin,code snippet injection
66,4,tx.origin,code snippet injection
71,4,tx.origin,code snippet injection
76,3,tx.origin,code snippet injection
80,4,tx.origin,code snippet injection
85,3,tx.origin,code snippet injection
94,4,tx.origin,code snippet injection
107,4,tx.origin,code snippet injection
129,4,tx.origin,code snippet injection
141,4,tx.origin,code snippet injection
147,4,tx.origin,code snippet injection
152,4,tx.origin,code snippet injection
157,3,tx.origin,code snippet injection
161,3,tx.origin,code snippet injection
166,4,tx.origin,code snippet injection
172,4,tx.origin,code snippet injection
190,4,tx.origin,code snippet injection
198,4,tx.origin,code snippet injection
207,4,tx.origin,code snippet injection
215,4,tx.origin,code snippet injection
234,4,tx.origin,code snippet injection
247,4,tx.origin,code snippet injection
255,4,tx.origin,code snippet injection
264,4,tx.origin,code snippet injection
282,3,tx.origin,code snippet injection
289,3,tx.origin,code snippet injection
297,4,tx.origin,code snippet injection
308,3,tx.origin,code snippet injection
327,4,tx.origin,code snippet injection
335,4,tx.origin,code snippet injection
345,4,tx.origin,code snippet injection
354,4,tx.origin,code snippet injection
366,3,tx.origin,code snippet injection
376,4,tx.origin,code snippet injection
386,3,tx.origin,code snippet injection
390,4,tx.origin,code snippet injection
395,4,tx.origin,code snippet injection
400,4,tx.origin,code snippet injection
